Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
"266 - Special tool, die, jig, and fixture manufacturing",0.0,13890617.05,4792630.18,18683247.23,0.0,14169068.8,4736775.49,18905844.29,222597.05999999866,1.1914259724753353
"417 - Satellite, telecommunications resellers, and all other telecommunications",0.0,327624385.19,535569173.85,863193559.04,0.0,334191953.98,529227530.28,863419484.26,225925.2200000286,0.026173181858688933
176 - Photographic film and chemical manufacturing,0.0,27298553.95,27520597.18,54819151.13,0.0,27845781.62,27200698.86,55046480.48,227329.34999999404,0.41468965738067975
27 - Sand and gravel mining,0.0,26074899.57,24658413.21,50733312.79,0.0,26597597.83,24370148.38,50967746.22,234433.4299999997,0.46208973376209067
25 - Other metal ore mining,0.0,25913773.58,23355050.64,49268824.22,0.0,26433241.91,23079632.51,49512874.42,244050.20000000298,0.495344071760767
116 - Other textile product mills,0.0,39246043.06,46602123.97,85848167.02,0.0,40032770.48,46060600.25,86093370.73,245203.71000000834,0.2856248636536216
267 - Cutting tool and machine tool accessory manufacturing,0.0,15622015.89,5739432.9,21361448.79,0.0,15935175.31,5672380.47,21607555.78,246106.9900000021,1.152108138448048
512 - State government electric utilities,0.0,26446764.26,23407723.16,49854487.42,0.0,26976916.93,23131249.3,50108166.22,253678.79999999702,0.5088384479071574
342 - Railroad rolling stock manufacturing,0.0,13504092.65,1373630.56,14877723.21,0.0,13774796.12,1357635.72,15132431.84,254708.62999999896,1.7120135010227748
317 - Relay and industrial control manufacturing,0.0,25399782.3,21296046.54,46695828.83,0.0,25908947.14,21046093.07,46955040.21,259211.38000000268,0.5551060694172129
284 - Fluid power cylinder and actuator manufacturing,0.0,18537678.54,9471140.54,28008819.08,0.0,18909285.43,9361673.61,28270959.03,262139.95000000298,0.9359193233076608
128 - Reconstituted wood product manufacturing,0.0,33944845.18,36046293.81,69991138.99,0.0,34625304.62,35629433.79,70254738.41,263599.4200000018,0.37661827454710184
"222 - Metal crown, closure, and other metal stamping (except automotive)",0.0,56774927.74,71442393.63,128217321.38,0.0,57913039.74,70607131.82,128520171.56,302850.18000000715,0.2362006761180454
"217 - Nonferrous metal, except copper and aluminum, shaping",0.0,25464854.11,17042959.06,42507813.17,0.0,25975323.38,16843510.49,42818833.86,311020.6899999976,0.7316788769070371
251 - Other fabricated metal manufacturing,0.0,93390401.4,133232083.03,226622484.44,0.0,95262508.35,131673063.36,226935571.7,313087.25999999046,0.13815366148405397
298 - Electronic connector manufacturing,0.0,36173492.74,35375027.63,71548520.37,0.0,36898627.72,34963388.53,71862016.25,313495.87999999523,0.43815843902684354
187 - Rubber and plastics hoses and belting manufacturing,0.0,31591036.37,27248895.46,58839931.83,0.0,32224311.29,26929190.42,59153501.7,313569.87000000477,0.5329201789457695
322 - Carbon and graphite product manufacturing,0.0,30107031.62,24901815.23,55008846.85,0.0,30710558.12,24611906.55,55322464.67,313617.8200000003,0.570122512939026
