Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
228 - Fabricated structural metal manufacturing,0.0,315164369.99,155997192.33,471161562.33,0.0,321482164.93,154191277.43,475673442.35,4511880.0200000405,0.9576078315233905
144 - Printing,0.0,770278187.0,894883847.78,1665162034.78,0.0,785719207.9,884496048.45,1670215256.35,5053221.569999933,0.30346725810786107
"244 - Valve and fittings, other than plumbing, manufacturing",0.0,309019589.15,75613697.0,384633286.15,0.0,315214205.61,74727151.21,389941356.82,5308070.670000017,1.380034141904704
513 - Other state government enterprises,0.0,455316759.39,311562862.97,766879622.36,0.0,464444053.55,307866507.84,772310561.4,5430939.039999962,0.7081866412471305
"243 - Electroplating, anodizing, and coloring metal",0.0,306660807.99,57024247.62,363685055.61,0.0,312808140.25,56354741.03,369162881.28,5477825.669999957,1.5062003746104262
36 - Electric power generation - Nuclear,0.0,600493896.16,532037570.0,1132531466.17,0.0,612531415.8,525753939.61,1138285355.41,5753889.24000001,0.5080555738957556
444 - Management consulting services,0.0,1593378098.1,2190436041.7,3783814139.8,0.0,1625319005.86,2165128171.81,3790447177.67,6633037.869999886,0.17530030876068575
132 - Wood container and pallet manufacturing,0.0,424171301.67,122543494.56,546714796.24,0.0,432674253.01,121102805.38,553777058.38,7062262.139999986,1.291763491416419
453 - Facilities support services,0.0,474377284.76,194346095.64,668723380.4,0.0,483886666.82,192093894.28,675980561.1,7257180.700000048,1.085229096619761
332 - Motor vehicle transmission and power train parts manufacturing,0.0,505393092.92,236625038.52,742018131.44,0.0,515524218.85,233869077.82,749393296.67,7375165.2299999,0.9939332905096618
515 - Local government electric utilities,0.0,782357896.32,692338518.07,1474696414.39,0.0,798041067.46,684161070.2,1482202137.66,7505723.269999981,0.5089673506193939
460 - Other support services,0.0,861707182.58,793052634.34,1654759816.91,0.0,878980992.02,783820083.96,1662801075.98,8041259.069999933,0.4859472044115563
207 - Iron and steel mills and ferroalloy manufacturing,0.0,689625344.31,408896980.26,1098522324.57,0.0,703449595.78,404132711.69,1107582307.47,9059982.900000095,0.8247427200486334
455 - Business support services,0.0,959773635.69,871035417.02,1830809052.71,0.0,979013288.35,860888909.79,1839902198.14,9093145.430000067,0.49667361085746276
"447 - Advertising, public relations, and related services",0.0,1744271971.15,2171113672.29,3915385643.44,0.0,1779237702.26,2145811746.3,3925049448.57,9663805.130000114,0.24681617623518787
"439 - Architectural, engineering, and related services",0.0,1156471818.55,1054800863.18,2211272681.73,0.0,1179654489.21,1042500652.1,2222155141.32,10882459.590000153,0.49213557784679035
155 - Other basic organic chemical manufacturing,0.0,988838746.28,755778785.8,1744617532.09,0.0,1008661039.08,746906162.23,1755567201.31,10949669.220000029,0.627625770038127
185 - Other plastics product manufacturing,0.0,1071064550.39,883182489.32,1954247039.71,0.0,1092535144.25,872790242.83,1965325387.08,11078347.369999886,0.5668857183810219
458 - Services to buildings,0.0,1452953569.41,1540910470.53,2993864039.95,0.0,1482079522.63,1523049570.99,3005129093.62,11265053.670000076,0.37627138439420293
43 - Natural gas distribution,0.0,1325534429.32,1234237137.33,2559771566.65,0.0,1352106134.43,1219703386.54,2571809520.97,12037954.319999695,0.4702745540592863
442 - Computer systems design services,0.0,1295144644.15,1130149811.9,2425294456.04,0.0,1321107154.66,1117004770.75,2438111925.41,12817469.369999886,0.5284912657957475
242 - Metal coating and nonprecious engraving,0.0,714639923.92,126359199.42,840999123.34,0.0,728965618.44,124875977.48,853841595.92,12842472.579999924,1.5270494610025835
384 - Wholesale - Wholesale electronic markets and agents and brokers,0.0,928723490.88,431077283.43,1359800774.31,0.0,947340711.36,426035642.78,1373376354.14,13575579.830000162,0.998350647129818
496 - Electronic and precision equipment repair and maintenance,0.0,1057237891.74,647536353.23,1704774244.97,0.0,1078431315.97,640017023.97,1718448339.94,13674094.970000029,0.8021059099376915
273 - Other engine equipment manufacturing,0.0,752745478.2,104664774.01,857410252.21,0.0,767835037.88,103463486.52,871298524.39,13888272.179999948,1.6197931088650408
239 - Machine shops,0.0,1022696528.68,268485050.42,1291181579.1,0.0,1043197535.65,265346942.32,1308544477.97,17362898.870000124,1.3447294440261988
"336 - Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",0.0,988279077.73,131601407.61,1119880485.34,0.0,1008090151.39,130065253.22,1138155404.61,18274919.26999998,1.631863355887628
35 - Electric power generation - Fossil fuel,0.0,1977401688.23,1751977823.34,3729379511.56,0.0,2017040745.03,1731286087.02,3748326832.04,18947320.48000002,0.5080555738902087
"450 - All other miscellaneous professional, scientific, and technical services",0.0,1662789213.81,1215036457.17,2877825670.98,0.0,1696121539.0,1200982349.09,2897103888.09,19278217.110000134,0.6698882876889214
461 - Waste management and remediation services,0.0,1830980968.66,1442850930.47,3273831899.12,0.0,1867684871.08,1425935453.96,3293620325.05,19788425.930000305,0.6044423336249916
421 - Nondepository credit intermediation and related activities,0.0,3523767055.33,4351288255.64,7875055310.98,0.0,3594404601.21,4300951207.92,7895355809.13,20300498.150000572,0.25778229292810273
441 - Custom computer programming services,0.0,1651324107.76,862174276.69,2513498384.45,0.0,1684426603.07,852104991.68,2536531594.75,23033210.30000019,0.9163805492176708
497 - Commercial and industrial machinery and equipment repair and maintenance,0.0,1598516555.95,729845957.8,2328362513.75,0.0,1630560469.41,721352057.14,2351912526.55,23550012.80000019,1.0114409874290216
498 - Personal and household goods repair and maintenance,0.0,1893501564.67,1050230568.45,2943732133.13,0.0,1931458756.94,1038058389.47,2969517146.41,25785013.279999733,0.8759293343916841
457 - Investigation and security services,0.0,1813890591.41,805241421.47,2619132012.87,0.0,1850251899.59,795887718.37,2646139617.96,27007605.090000153,1.0311662397041867
"378 - Wholesale - Machinery, equipment, and supplies",0.0,2025896143.51,1120887795.31,3146783938.82,0.0,2066507321.7,1107777249.87,3174284571.57,27500632.75,0.8739282163843873
452 - Office administrative services,0.0,2220870391.51,860412771.36,3081283162.87,0.0,2265390029.64,850429269.47,3115819299.12,34536136.25,1.1208361719612945
335 - Other motor vehicle parts manufacturing,0.0,2086375353.75,402658425.37,2489033779.11,0.0,2128198900.1,397952694.61,2526151594.71,37117815.599999905,1.49125399227294
330 - Motor vehicle gasoline engine and engine parts manufacturing,0.0,2012407134.51,212184926.62,2224592061.13,0.0,2052747911.59,209716378.39,2262464289.98,37872228.849999905,1.7024347749745359
"438 - Accounting, tax preparation, bookkeeping, and payroll services",0.0,3443420646.17,2620328095.78,6063748741.95,0.0,3512447565.39,2590116633.97,6102564199.36,38815457.40999985,0.6401231162740666
401 - Pipeline transportation,0.0,2248715757.7,530081099.77,2778796857.47,0.0,2293793584.92,523849293.86,2817642878.78,38846021.31000042,1.3979439053118983
433 - General and consumer goods rental except video tapes and discs,0.0,2335131221.91,501468190.0,2836599411.91,0.0,2381941336.26,495646516.41,2877587852.67,40988440.76000023,1.4449851673769125
396 - Air transportation,0.0,4446693777.51,3811191833.4,8257885610.91,0.0,4535832341.65,3768391739.47,8304224081.12,46338470.21000004,0.5611420694515245
432 - Automotive equipment rental and leasing,0.0,3141261457.47,1332793622.33,4474055079.8,0.0,3204231284.03,1317513749.06,4521745033.09,47689953.28999996,1.0659223554335815
55 - Maintenance and repair construction of nonresidential structures,0.0,3583529213.87,2025172243.15,5608701457.02,0.0,3655364753.86,2001448228.8,5656812982.67,48111525.64999962,0.8578015075090502
151 - Petrochemical manufacturing,0.0,3322822986.16,1214189286.34,4537012272.49,0.0,3389432400.86,1199921456.54,4589353857.41,52341584.92000008,1.1536575564798728
42 - Electric power transmission and distribution,0.0,5618538847.44,4978903798.35,10597442645.79,0.0,5731168254.93,4920101030.3,10651269285.23,53826639.43999863,0.5079210262240211
436 - Lessors of nonfinancial intangible assets,0.0,4406109468.53,2377743150.06,6783852618.59,0.0,4494434478.33,2350131168.18,6844565646.51,60713027.92000008,0.8949638403644898
375 - Wholesale - Motor vehicle and motor vehicle parts and supplies,0.0,4344693400.28,1308099678.09,5652793078.37,0.0,4431787261.64,1292812270.97,5724599532.6,71806454.2300005,1.270282729873178
516 - Other local government enterprises,0.0,6069225470.92,4165852410.09,10235077881.02,0.0,6190889356.72,4116427127.72,10307316484.45,72238603.4300003,0.7057943698109036
508 - Postal service,0.0,4493283112.96,841591590.12,5334874703.08,0.0,4583355608.4,831783084.39,5415138692.79,80263989.71000004,1.5045149919577487
"494 - Automotive repair and maintenance, except car washes",0.0,6829092681.91,3714239451.5,10543332133.41,0.0,6965988889.87,3670697961.38,10636686851.25,93354717.84000015,0.8854384615673366
397 - Rail transportation,0.0,5980523352.55,632177988.16,6612701340.71,0.0,6100409112.89,624780943.57,6725190056.46,112488715.75,1.7011008051653846
435 - Commercial and industrial machinery and equipment rental and leasing,0.0,7301262820.26,1159586522.76,8460849343.02,0.0,7447624165.75,1146165693.81,8593789859.56,132940516.53999901,1.5712431595259615
"427 - Insurance agencies, brokerages, and related activities",0.0,11261368947.63,6896037884.34,18157406831.96,0.0,11487114705.83,6815558691.98,18302673397.81,145266565.8500023,0.8000402656303841
451 - Management of companies and enterprises,0.0,12252898345.33,8102710482.95,20355608828.28,0.0,12498520333.21,8008335485.53,20506855818.74,151246990.4600029,0.7430236635805056
391 - Retail - Gasoline stores,0.0,8635883168.44,1861527959.57,10497411128.01,0.0,8808998355.65,1839698266.7,10648696622.35,151285494.34000015,1.441169565478183
429 - Other real estate,0.0,17298367472.19,15246466588.67,32544834060.86,0.0,17645131093.82,15069506595.77,32714637689.59,169803628.72999954,0.5217529406125122
20 - Oil and gas extraction,0.0,11651333094.76,2449007342.95,14100340437.71,0.0,11884896086.59,2420147733.63,14305043820.22,204703382.51000023,1.451761986983951
404 - Warehousing and storage,0.0,12538118479.53,1795199615.01,14333318094.54,0.0,12789457999.24,1774185069.86,14563643069.1,230324974.55999947,1.6069201355946832
454 - Employment services,0.0,14271858759.87,4200116080.53,18471974840.4,0.0,14557952892.1,4151259586.84,18709212478.93,237237638.52999878,1.2843111826415932
382 - Wholesale - Petroleum and petroleum products,0.0,13302084035.52,2285156296.66,15587240332.17,0.0,13568738032.93,2258335386.97,15827073419.91,239833087.73999977,1.5386500921847983
"426 - Insurance carriers, except direct life",0.0,20830571980.73,9360117135.74,30190689116.46,0.0,21248142285.67,9250347837.18,30498490122.85,307801006.3899994,1.0195229569045707
399 - Truck transportation,517459714328.88,23388501637.02,4460255772.72,545308471738.62,517459714328.88,23857348280.78,4408073896.53,545725136506.19,416664767.5700073,0.0764090031907161
403 - Couriers and messengers,0.0,23656767467.99,1261018662.22,24917786130.2,0.0,24130991777.08,1246273022.35,25377264799.43,459478669.22999954,1.8439787019165317
146 - Petroleum refineries,0.0,27703598264.29,5219743440.74,32923341705.03,0.0,28258945471.56,5158246927.73,33417192399.29,493850694.26000214,1.5000017272990003
402 - Scenic and sightseeing transportation and support activities for transportation,0.0,27189686758.36,1047366881.78,28237053640.14,0.0,27734732079.33,1035259851.68,28769991931.01,532938290.86999893,1.887372165884927
