Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
12 - Dairy cattle and milk production,0.0,42.14,1994.36,2036.5,0.0,42.98,1970.8,2013.78,-22.720000000000027,-1.1156395777068513,0.0,14616535.23,691802966.86,706419502.09,0.0,14909538.76,683629304.62,698538843.38,-7880658.710000038,-1.115577739103247
120 - Apparel accessories and other apparel manufacturing,0.0,6.9,239.36,246.26,0.0,7.04,236.58,243.61,-2.6499999999999773,-1.0760984325509533,0.0,950550.3,32971210.24,33921760.54,0.0,969605.06,32587427.85,33557032.92,-364727.6199999973,-1.0752025077528518
121 - Leather and hide tanning and finishing,0.0,2.72,29.89,32.61,0.0,2.78,29.53,32.31,-0.29999999999999716,-0.9199632014719324,0.0,924611.21,10152470.88,11077082.08,0.0,943145.99,10032242.29,10975388.29,-101693.79000000097,-0.9180557593196147
122 - Footwear manufacturing,0.0,1.05,183.4,184.46,0.0,1.08,181.24,182.32,-2.140000000000015,-1.1601431204597283,0.0,233000.75,40517114.12,40750114.87,0.0,237671.49,40039174.37,40276845.86,-473269.0099999979,-1.1613930697123405
123 - Other leather and allied product manufacturing,0.0,5.06,123.16,128.22,0.0,5.16,121.71,126.87,-1.3499999999999943,-1.0528778661675202,0.0,970186.19,23616661.45,24586847.65,0.0,989634.58,23338316.66,24327951.24,-258896.41000000015,-1.0529874089003035
124 - Sawmills,0.0,573.97,316.9,890.87,0.0,585.48,313.21,898.68,7.809999999999945,0.876671119242981,0.0,278738260.37,153896895.43,432635155.8,0.0,284325856.35,152103699.75,436429556.11,3794400.3100000024,0.8770439154404017
125 - Wood preservation,0.0,88.15,45.38,133.52,0.0,89.91,44.85,134.76,1.2399999999999807,0.9286998202516331,0.0,88532832.81,45577016.25,134109849.06,0.0,90307564.77,45045687.24,135353252.02,1243402.9600000083,0.927152605655172
126 - Veneer and plywood manufacturing,0.0,81.09,77.03,158.13,0.0,82.72,76.14,158.86,0.7300000000000182,0.4616454815658118,0.0,35142517.26,33382650.17,68525167.43,0.0,35846985.28,32996231.07,68843216.35,318048.9199999869,0.4641344661067497
127 - Engineered wood member and truss manufacturing,0.0,98.69,105.92,204.62,0.0,100.67,104.7,205.37,0.75,0.366533085719871,0.0,42667776.38,45792874.67,88460651.06,0.0,43523095.98,45263391.54,88786487.52,325836.45999999344,0.3683405628328341
128 - Reconstituted wood product manufacturing,0.0,34.61,36.75,71.36,0.0,35.3,36.33,71.63,0.269999999999996,0.378363228699546,0.0,33944845.18,36046293.81,69991138.99,0.0,34625304.62,35629433.79,70254738.41,263599.4200000018,0.37661827454710184
129 - Wood windows and door manufacturing,0.0,301.23,278.64,579.87,0.0,307.27,275.4,582.67,2.7999999999999545,0.4828668494662518,0.0,104735563.04,96880946.25,201616509.29,0.0,106835095.45,95756674.68,202591770.13,975260.8400000036,0.48372072477319483
