Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment
207 - Iron and steel mills and ferroalloy manufacturing,0.0,402.71,238.78,641.49,0.0,410.78,236.0,646.78,5.289999999999964,0.8246426288796339
510 - Other federal government enterprises,0.0,606.36,541.13,1147.48,0.0,618.51,534.9,1153.41,5.930000000000064,0.5167846062676529
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,308.43,19.04,327.47,0.0,314.62,18.82,333.43,5.9599999999999795,1.8200140470882764
16 - Commercial logging,0.0,510.84,353.1,863.94,0.0,521.08,348.98,870.07,6.1299999999999955,0.709540014352848
339 - Other aircraft parts and auxiliary equipment manufacturing,0.0,328.16,18.32,346.48,0.0,334.73,18.11,352.85,6.3700000000000045,1.838489956130225
151 - Petrochemical manufacturing,0.0,429.29,156.87,586.16,0.0,437.9,155.02,592.92,6.759999999999991,1.1532687320868007
331 - Motor vehicle electrical and electronic equipment manufacturing,0.0,542.87,303.44,846.32,0.0,553.76,299.89,853.64,7.319999999999936,0.86492107004442
186 - Tire manufacturing,0.0,631.03,435.66,1066.69,0.0,643.68,430.57,1074.25,7.559999999999945,0.7087344964328853
124 - Sawmills,0.0,573.97,316.9,890.87,0.0,585.48,313.21,898.68,7.809999999999945,0.876671119242981
228 - Fabricated structural metal manufacturing,0.0,560.61,277.49,838.1,0.0,571.85,274.27,846.13,8.029999999999973,0.9581195561388823
436 - Lessors of nonfinancial intangible assets,0.0,588.2,317.42,905.61,0.0,599.99,313.73,913.72,8.110000000000014,0.8955289804662067
229 - Plate work manufacturing,0.0,566.81,247.28,814.09,0.0,578.17,244.36,822.54,8.449999999999932,1.0379687749511641
35 - Electric power generation - Fossil fuel,0.0,1014.02,898.42,1912.43,0.0,1034.34,887.81,1922.15,9.720000000000027,0.5082538968746583
515 - Local government electric utilities,0.0,1021.8,904.23,1926.04,0.0,1042.29,893.55,1935.84,9.799999999999955,0.5088160162821102
219 - Ferrous metal foundries,0.0,577.03,151.35,728.39,0.0,588.6,149.59,738.19,9.800000000000068,1.3454330784332664
241 - Metal heat treating,0.0,550.23,104.27,654.5,0.0,561.26,103.05,664.31,9.809999999999945,1.498854087089373
332 - Motor vehicle transmission and power train parts manufacturing,0.0,674.23,315.67,989.9,0.0,687.74,312.0,999.74,9.840000000000032,0.9940398020002054
"244 - Valve and fittings, other than plumbing, manufacturing",0.0,643.98,157.57,801.55,0.0,656.88,155.73,812.61,11.06000000000006,1.3798265859896524
"240 - Turned product and screw, nut, and bolt manufacturing",0.0,749.16,242.91,992.08,0.0,764.18,240.08,1004.26,12.17999999999995,1.2277235706797789
43 - Natural gas distribution,0.0,1485.78,1383.45,2869.23,0.0,1515.57,1367.16,2882.73,13.5,0.4705095095199757
220 - Nonferrous metal foundries,0.0,790.55,168.41,958.96,0.0,806.4,166.45,972.84,13.879999999999995,1.4474013514640856
273 - Other engine equipment manufacturing,0.0,770.93,107.19,878.13,0.0,786.39,105.96,892.35,14.220000000000027,1.6193502101055683
"443 - Other computer related services, including facilities management",0.0,1807.77,1876.05,3683.82,0.0,1844.01,1854.24,3698.25,14.429999999999836,0.39171295014413937
513 - Other state government enterprises,0.0,1248.52,854.33,2102.85,0.0,1273.55,844.2,2117.75,14.900000000000091,0.7085621894096151
445 - Environmental and other technical consulting services,0.0,3170.88,3966.92,7137.81,0.0,3234.45,3921.23,7155.68,17.86999999999989,0.25035690218708384
144 - Printing,0.0,3488.61,4052.95,7541.55,0.0,3558.54,4005.9,7564.44,22.889999999999418,0.3035185074686161
132 - Wood container and pallet manufacturing,0.0,1427.82,412.5,1840.32,0.0,1456.45,407.65,1864.1,23.779999999999973,1.2921665797252637
"336 - Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",0.0,1542.01,205.34,1747.35,0.0,1572.93,202.94,1775.87,28.519999999999982,1.632185881477665
185 - Other plastics product manufacturing,0.0,2838.74,2340.78,5179.51,0.0,2895.64,2313.23,5208.88,29.36999999999989,0.5670420561018299
"243 - Electroplating, anodizing, and coloring metal",0.0,1649.63,306.75,1956.38,0.0,1682.7,303.15,1985.85,29.4699999999998,1.5063535713920506
459 - Landscape and horticultural services,0.0,7463.09,10386.86,17849.96,0.0,7612.7,10266.87,17879.57,29.610000000000582,0.16588272466717338
401 - Pipeline transportation,0.0,1748.78,412.23,2161.01,0.0,1783.83,407.39,2191.22,30.20999999999958,1.3979574365689922
42 - Electric power transmission and distribution,0.0,3458.24,3064.54,6522.78,0.0,3527.56,3028.35,6555.91,33.13000000000011,0.5079122705349577
242 - Metal coating and nonprecious engraving,0.0,1871.39,330.89,2202.29,0.0,1908.91,327.01,2235.92,33.63000000000011,1.5270468466914033
"447 - Advertising, public relations, and related services",0.0,6768.12,8424.34,15192.46,0.0,6903.79,8326.17,15229.96,37.5,0.2468329684593542
444 - Management consulting services,0.0,9245.6,12710.04,21955.64,0.0,9430.94,12563.19,21994.13,38.4900000000016,0.175308030191794
460 - Other support services,0.0,4602.2,4235.53,8837.72,0.0,4694.45,4186.22,8880.67,42.95000000000073,0.48598507307315386
330 - Motor vehicle gasoline engine and engine parts manufacturing,0.0,2464.43,259.85,2724.27,0.0,2513.83,256.82,2770.65,46.38000000000011,1.7024744243412038
453 - Facilities support services,0.0,3165.5,1296.86,4462.36,0.0,3228.95,1281.83,4510.79,48.43000000000029,1.0853001550748997
146 - Petroleum refineries,0.0,2841.7,535.42,3377.12,0.0,2898.67,529.11,3427.78,50.66000000000031,1.5000947552944612
421 - Nondepository credit intermediation and related activities,0.0,8956.01,11059.24,20015.26,0.0,9135.55,10931.31,20066.86,51.60000000000218,0.257803296085098
