Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total
515 - Local government electric utilities,0.0,1021.8,904.23,1926.04
35 - Electric power generation - Fossil fuel,0.0,1014.02,898.42,1912.43
139 - Paperboard container manufacturing,0.0,914.67,1296.9,2211.57
411 - Motion picture and video industries,0.0,841.7,4477.17,5318.87
220 - Nonferrous metal foundries,0.0,790.55,168.41,958.96
273 - Other engine equipment manufacturing,0.0,770.93,107.19,878.13
"417 - Satellite, telecommunications resellers, and all other telecommunications",0.0,770.65,1259.79,2030.45
"240 - Turned product and screw, nut, and bolt manufacturing",0.0,749.16,242.91,992.08
56 - Maintenance and repair construction of residential structures,0.0,732.81,9319.04,10051.85
332 - Motor vehicle transmission and power train parts manufacturing,0.0,674.23,315.67,989.9
10 - All other crop farming,0.0,673.24,3620.62,4293.86
395 - Retail - Miscellaneous store retailers,0.0,649.4,29225.46,29874.86
"244 - Valve and fittings, other than plumbing, manufacturing",0.0,643.98,157.57,801.55
186 - Tire manufacturing,0.0,631.03,435.66,1066.69
510 - Other federal government enterprises,0.0,606.36,541.13,1147.48
436 - Lessors of nonfinancial intangible assets,0.0,588.2,317.42,905.61
502 - Other personal services,0.0,583.19,21218.44,21801.63
219 - Ferrous metal foundries,0.0,577.03,151.35,728.39
124 - Sawmills,0.0,573.97,316.9,890.87
229 - Plate work manufacturing,0.0,566.81,247.28,814.09
514 - Local government passenger transit,0.0,562.74,2911.44,3474.18
228 - Fabricated structural metal manufacturing,0.0,560.61,277.49,838.1
241 - Metal heat treating,0.0,550.23,104.27,654.5
296 - Semiconductor and related device manufacturing,0.0,548.28,1004.75,1553.03
331 - Motor vehicle electrical and electronic equipment manufacturing,0.0,542.87,303.44,846.32
478 - Performing arts companies,0.0,528.63,5793.64,6322.27
381 - Wholesale - Grocery and related product wholesalers,0.0,516.47,11706.38,12222.85
416 - Wireless telecommunications carriers (except satellite),0.0,515.83,1126.43,1642.26
36 - Electric power generation - Nuclear,0.0,514.96,456.26,971.22
16 - Commercial logging,0.0,510.84,353.1,863.94
19 - Support activities for agriculture and forestry,0.0,478.99,6030.58,6509.57
380 - Wholesale - Drugs and druggistsâ€™ sundries,0.0,464.47,3355.09,3819.57
155 - Other basic organic chemical manufacturing,0.0,435.84,333.12,768.96
151 - Petrochemical manufacturing,0.0,429.29,156.87,586.16
"428 - Funds, trusts, and other financial vehicles",0.0,413.16,17149.65,17562.81
207 - Iron and steel mills and ferroalloy manufacturing,0.0,402.71,238.78,641.49
414 - Cable and other subscription programming,0.0,390.78,754.56,1145.34
464 - Other educational services,0.0,378.03,19149.16,19527.19
178 - Plastics packaging materials and unlaminated film and sheet manufacturing,0.0,371.61,611.71,983.32
21 - Coal mining,0.0,347.89,318.11,665.99
"393 - Retail - Sporting goods, hobby, musical instrument and book stores",0.0,347.13,13258.65,13605.77
231 - Sheet metal work manufacturing,0.0,338.91,259.93,598.84
238 - Spring and wire product manufacturing,0.0,331.77,174.06,505.83
339 - Other aircraft parts and auxiliary equipment manufacturing,0.0,328.16,18.32,346.48
486 - Other amusement and recreation industries,0.0,325.15,12896.89,13222.04
406 - Periodical publishers,0.0,315.96,805.54,1121.5
405 - Newspaper publishers,0.0,315.7,1086.24,1401.95
495 - Car washes,0.0,310.96,4763.35,5074.31
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,308.43,19.04,327.47
129 - Wood windows and door manufacturing,0.0,301.23,278.64,579.87
"463 - Junior colleges, colleges, universities, and professional schools",0.0,281.59,22774.09,23055.68
156 - Plastics material and resin manufacturing,0.0,275.03,318.95,593.98
251 - Other fabricated metal manufacturing,0.0,265.19,378.32,643.51
196 - Ready-mix concrete manufacturing,0.0,256.96,225.93,482.89
"44 - Water, sewage and other systems",0.0,254.84,685.2,940.04
"6 - Greenhouse, nursery, and floriculture production",0.0,251.78,2619.34,2871.11
37 - Electric power generation - Solar,0.0,225.04,199.38,424.42
167 - Paint and coating manufacturing,0.0,223.87,199.92,423.79
386 - Retail - Furniture and home furnishings stores,0.0,223.45,8993.98,9217.43
138 - Paperboard mills,0.0,220.14,228.49,448.63
116 - Other textile product mills,0.0,215.15,255.47,470.62
175 - Custom compounding of purchased resins,0.0,215.14,100.09,315.23
348 - Wood kitchen cabinet and countertop manufacturing,0.0,213.39,713.97,927.36
140 - Paper bag and coated and treated paper manufacturing,0.0,209.38,450.21,659.58
177 - Other miscellaneous chemical product manufacturing,0.0,207.65,187.41,395.07
2 - Grain farming,0.0,205.32,2023.93,2229.25
487 - Fitness and recreational sports centers,0.0,202.21,10394.09,10596.3
188 - Other rubber product manufacturing,0.0,196.84,190.09,386.93
299 - Other electronic component manufacturing,0.0,196.12,227.14,423.26
"419 - News syndicates, libraries, archives and all other information services",0.0,193.26,976.43,1169.69
230 - Metal window and door manufacturing,0.0,177.57,178.49,356.06
223 - Iron and steel forging,0.0,177.22,67.62,244.84
387 - Retail - Electronics and appliance stores,0.0,173.45,8458.82,8632.27
137 - Paper mills,0.0,172.83,483.76,656.59
199 - Other concrete product manufacturing,0.0,172.58,169.27,341.84
180 - Plastics pipe and pipe fitting manufacturing,0.0,171.97,161.03,333.0
"222 - Metal crown, closure, and other metal stamping (except automotive)",0.0,168.04,211.45,379.49
232 - Ornamental and architectural metal work manufacturing,0.0,163.11,178.65,341.76
38 - Electric power generation - Wind,0.0,156.93,139.04,295.97
294 - Printed circuit assembly (electronic assembly) manufacturing,0.0,156.69,166.82,323.52
26 - Stone mining and quarrying,0.0,154.88,114.94,269.82
149 - Petroleum lubricating oil and grease manufacturing,0.0,150.53,95.83,246.36
368 - Sign manufacturing,0.0,148.04,185.77,333.81
"131 - Other millwork, including flooring",0.0,143.22,140.05,283.27
334 - Motor vehicle metal stamping,0.0,140.56,182.88,323.44
237 - Hardware manufacturing,0.0,139.12,99.87,238.99
31 - Support activities for oil and gas operations,0.0,138.36,29.3,167.66
321 - Wiring device manufacturing,0.0,137.4,88.82,226.21
398 - Water transportation,0.0,137.02,811.67,948.69
333 - Motor vehicle seating and interior trim manufacturing,0.0,136.4,144.72,281.12
154 - Other basic inorganic chemical manufacturing,0.0,133.42,173.24,306.65
"208 - Iron, steel pipe and tube manufacturing from purchased steel",0.0,126.04,74.34,200.38
152 - Industrial gas manufacturing,0.0,123.28,129.29,252.57
448 - Photographic services,0.0,122.07,810.26,932.33
141 - Stationery product manufacturing,0.0,121.11,79.4,200.51
145 - Support activities for printing,0.0,120.53,160.34,280.86
315 - Motor and generator manufacturing,0.0,120.24,37.19,157.43
390 - Retail - Health and personal care stores,0.0,118.8,23426.34,23545.15
"216 - Copper rolling, drawing, extruding and alloying",0.0,117.23,72.48,189.71
318 - Battery manufacturing,0.0,116.31,407.25,523.56
"181 - Laminated plastics plate, sheet (except packaging), and shape manufacturing",0.0,111.8,125.12,236.92
509 - Federal electric utilities,0.0,111.7,98.82,210.52
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,111.08,7680.42,7791.5
261 - Commercial and service industry machinery manufacturing,0.0,109.98,52.5,162.49
194 - Glass product manufacturing made of purchased glass,0.0,109.46,263.49,372.94
34 - Electric power generation - Hydroelectric,0.0,109.09,96.65,205.74
407 - Book publishers,0.0,106.81,648.41,755.22
135 - All other miscellaneous wood product manufacturing,0.0,105.84,168.47,274.31
114 - Textile bag and canvas mills,0.0,104.5,247.05,351.55
392 - Retail - Clothing and clothing accessories stores,0.0,103.2,22437.36,22540.56
292 - Other communications equipment manufacturing,0.0,101.44,50.33,151.78
209 - Rolled steel shape manufacturing,0.0,100.33,59.02,159.35
127 - Engineered wood member and truss manufacturing,0.0,98.69,105.92,204.62
"274 - Measuring, dispensing, and other pumping equipment manufacturing",0.0,98.68,49.45,148.13
183 - Urethane and other foam product (except polystyrene) manufacturing,0.0,98.07,350.29,448.36
"264 - Air conditioning, refrigeration, and warm air heating equipment manufacturing",0.0,97.52,191.65,289.17
246 - Ball and roller bearing manufacturing,0.0,96.89,52.2,149.09
"14 - Animal production, except cattle and poultry and eggs",0.0,96.72,4021.43,4118.15
179 - Unlaminated plastics profile shape manufacturing,0.0,91.9,128.89,220.79
"130 - Cut stock, resawing lumber, and planing",0.0,90.98,58.32,149.3
125 - Wood preservation,0.0,88.15,45.38,133.52
226 - Handtool manufacturing,0.0,87.58,165.93,253.51
182 - Polystyrene foam product manufacturing,0.0,87.13,273.92,361.05
"369 - Gasket, packing, and sealing device manufacturing",0.0,84.43,127.55,211.98
"408 - Directory, mailing list, and other publishers",0.0,84.15,238.51,322.67
"22 - Copper, nickel, lead, and zinc mining",0.0,83.47,146.73,230.21
195 - Cement manufacturing,0.0,82.37,38.8,121.17
102 - Wineries,0.0,81.77,1171.58,1253.34
126 - Veneer and plywood manufacturing,0.0,81.09,77.03,158.13
27 - Sand and gravel mining,0.0,80.13,75.78,155.91
412 - Sound recording industries,0.0,78.18,275.18,353.36
"88 - Bread and bakery product, except frozen, manufacturing",0.0,77.87,5475.12,5552.98
187 - Rubber and plastics hoses and belting manufacturing,0.0,77.34,66.71,144.04
295 - Bare printed circuit board manufacturing,0.0,76.75,106.05,182.8
311 - Lighting fixture manufacturing,0.0,75.99,106.58,182.58
224 - Nonferrous forging,0.0,75.5,29.82,105.32
