Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total
123 - Other leather and allied product manufacturing,0.0,5.06,123.16,128.22
92 - Roasted nuts and peanut butter manufacturing,0.0,4.78,259.11,263.9
370 - Musical instrument manufacturing,0.0,4.78,63.67,68.46
344 - Boat building,0.0,4.57,525.96,530.53
"78 - Dry, condensed, and evaporated dairy product manufacturing",0.0,4.48,247.28,251.76
"72 - Frozen fruits, juices and vegetables manufacturing",0.0,4.46,412.54,417.0
"366 - Doll, toy, and game manufacturing",0.0,4.33,171.65,175.98
82 - Frozen cakes and other pastries manufacturing,0.0,4.32,307.06,311.38
364 - Jewelry and silverware manufacturing,0.0,4.21,330.08,334.29
109 - Knit fabric mills,0.0,4.19,29.55,33.73
305 - Electricity and signal testing instruments manufacturing,0.0,4.14,5.11,9.24
107 - Narrow fabric mills and schiffli machine embroidery,0.0,4.11,28.34,32.45
85 - Meat processed from carcasses,0.0,3.97,1908.53,1912.5
"346 - Military armored vehicle, tank, and tank component manufacturing",0.0,3.95,10.53,14.48
164 - Pharmaceutical preparation manufacturing,0.0,3.95,2503.25,2507.19
113 - Curtain and linen mills,0.0,3.82,181.24,185.06
86 - Rendering and meat byproduct processing,0.0,3.72,89.76,93.48
"301 - Search, detection, and navigation instruments manufacturing",0.0,3.41,12.63,16.04
480 - Racing and Track Operation,0.0,3.37,832.84,836.21
282 - Packaging machinery manufacturing,0.0,3.33,21.99,25.32
5 - Tree nut farming,0.0,3.19,433.86,437.05
"504 - Grantmaking, giving, and social advocacy organizations",0.0,3.18,7846.05,7849.23
"278 - Overhead cranes, hoists, and monorail systems manufacturing",0.0,3.09,1.45,4.53
327 - Truck trailer manufacturing,0.0,3.08,1.03,4.11
89 - Cookie and cracker manufacturing,0.0,2.87,532.27,535.14
258 - Food product machinery manufacturing,0.0,2.86,6.39,9.25
257 - Semiconductor machinery manufacturing,0.0,2.82,4.64,7.46
112 - Carpet and rug mills,0.0,2.79,132.8,135.59
117 - Apparel knitting mills,0.0,2.74,120.14,122.88
121 - Leather and hide tanning and finishing,0.0,2.72,29.89,32.61
312 - Small electrical appliance manufacturing,0.0,2.7,95.03,97.72
71 - Confectionery manufacturing from purchased chocolate,0.0,2.62,443.38,446.0
69 - Nonchocolate confectionery manufacturing,0.0,2.61,382.71,385.31
354 - Custom architectural woodwork and millwork,0.0,2.49,5.32,7.81
275 - Air and gas compressor manufacturing,0.0,2.24,2.04,4.28
76 - Dehydrated food products manufacturing,0.0,2.21,159.84,162.05
75 - Canned specialties,0.0,2.2,151.74,153.94
60 - Flour milling,0.0,2.01,209.42,211.43
350 - Nonupholstered wood household furniture manufacturing,0.0,2.0,312.68,314.68
"259 - Sawmill, woodworking, and paper machinery",0.0,1.99,3.29,5.27
276 - Elevator and moving stairway manufacturing,0.0,1.94,1.34,3.28
91 - Tortilla manufacturing,0.0,1.79,292.7,294.48
"314 - Power, distribution, and specialty transformer manufacturing",0.0,1.75,3.71,5.46
293 - Audio and video equipment manufacturing,0.0,1.72,106.71,108.43
365 - Sporting and athletic goods manufacturing,0.0,1.65,395.09,396.74
"371 - Fasteners, buttons, needles, and pins manufacturing",0.0,1.61,41.7,43.31
9 - Sugarcane and sugar beet farming,0.0,1.61,147.11,148.72
352 - Institutional furniture manufacturing,0.0,1.59,4.44,6.03
325 - Heavy duty truck manufacturing,0.0,1.57,1.85,3.42
341 - Propulsion units and parts for space vehicles and guided missiles manufacturing,0.0,1.56,1.12,2.68
"90 - Dry pasta, mixes, and dough manufacturing",0.0,1.36,295.51,296.87
362 - Ophthalmic goods manufacturing,0.0,1.12,296.08,297.2
133 - Manufactured home (mobile home) manufacturing,0.0,1.12,1.35,2.47
122 - Footwear manufacturing,0.0,1.05,183.4,184.46
67 - Beet sugar manufacturing,0.0,1.01,98.4,99.41
100 - Manufactured ice,0.0,0.95,108.43,109.38
68 - Sugar cane mills and refining,0.0,0.95,92.7,93.64
80 - Creamery butter manufacturing,0.0,0.86,46.99,47.86
357 - Mattress manufacturing,0.0,0.86,246.61,247.47
70 - Chocolate and confectionery manufacturing from cacao beans,0.0,0.86,138.89,139.75
349 - Upholstered household furniture manufacturing,0.0,0.69,567.77,568.46
288 - Computer storage device manufacturing,0.0,0.67,22.11,22.78
30 - Drilling oil and gas wells,0.0,0.63,0.14,0.77
358 - Blind and shade manufacturing,0.0,0.57,76.58,77.15
"355 - Office furniture, except wood, manufacturing",0.0,0.56,1.87,2.43
469 - Medical and diagnostic laboratories,0.0,0.55,6251.61,6252.16
61 - Rice milling,0.0,0.43,56.98,57.41
166 - Biological product (except diagnostic) manufacturing,0.0,0.39,54.77,55.16
351 - Other household nonupholstered furniture manufacturing,0.0,0.29,98.41,98.7
353 - Wood office furniture manufacturing,0.0,0.27,1.14,1.41
62 - Malt manufacturing,0.0,0.27,16.0,16.27
33 - Other nonmetallic minerals services,0.0,0.26,0.19,0.45
165 - In-vitro diagnostic substance manufacturing,0.0,0.24,161.18,161.43
361 - Dental equipment and supplies manufacturing,0.0,0.22,26.2,26.43
18 - Commercial hunting and trapping,0.0,0.21,190.27,190.48
340 - Guided missile and space vehicle manufacturing,0.0,0.21,0.52,0.73
409 - Greeting card publishing,0.0,0.21,37.88,38.09
66 - Breakfast cereal manufacturing,0.0,0.2,188.5,188.7
"483 - Museums, historical sites, zoos, and parks",0.0,0.18,2719.14,2719.32
328 - Motor home manufacturing,0.0,0.17,213.58,213.75
300 - Electromedical and electrotherapeutic apparatus manufacturing,0.0,0.14,61.15,61.29
58 - Dog and cat food manufacturing,0.0,0.14,584.31,584.45
506 - Labor and civic organizations,0.0,0.14,9271.63,9271.77
488 - Bowling centers,0.0,0.13,1132.09,1132.22
434 - Video tape and disc rental,0.0,0.09,77.36,77.46
7 - Tobacco farming,0.0,0.04,9.11,9.15
307 - Irradiation apparatus manufacturing,0.0,0.01,1.85,1.86
104 - Tobacco manufacturing,0.0,0.01,133.45,133.46
466 - Offices of dentists,0.0,0.0,18917.59,18917.59
373 - Burial casket manufacturing,0.0,0.0,29.36,29.36
363 - Dental laboratories,0.0,0.0,595.45,595.45
472 - Hospitals,0.0,0.0,87951.66,87951.66
465 - Offices of physicians,0.0,0.0,61645.49,61645.49
475 - Individual and family services,0.0,0.0,61012.41,61012.41
503 - Religious organizations,0.0,0.0,46722.35,46722.35
499 - Personal care services,0.0,0.0,33270.91,33270.91
473 - Nursing and community care facilities,0.0,0.0,32231.04,32231.04
470 - Home health care services,0.0,0.0,30681.11,30681.11
430 - Tenant-occupied housing,0.0,0.0,21505.54,21505.54
468 - Outpatient care centers,0.0,0.0,21497.11,21497.11
467 - Offices of other health practitioners,0.0,0.0,20926.3,20926.3
476 - Child day care services,0.0,0.0,20287.05,20287.05
462 - Elementary and secondary schools,0.0,0.0,19533.85,19533.85
"474 - Residential mental health, substance abuse, and other residential care facilities",0.0,0.0,12384.72,12384.72
"477 - Community food, housing, and other relief services, including rehabilitation services",0.0,0.0,11994.35,11994.35
507 - Private households,0.0,0.0,10314.55,10314.55
500 - Death care services,0.0,0.0,5724.02,5724.02
"524 - * Employment and payroll of local govt, education",0.0,0.0,0.0,0.0
"525 - * Employment and payroll of local govt, hospitals and health services",0.0,0.0,0.0,0.0
520 - * Not an industry (Noncomparable foreign imports),0.0,0.0,0.0,0.0
54 - Construction of other new residential structures,0.0,0.0,0.0,0.0
47 - Construction of new power and communication structures,0.0,0.0,0.0,0.0
53 - Construction of new multifamily residential structures,0.0,0.0,0.0,0.0
48 - Construction of new educational and vocational structures,0.0,0.0,0.0,0.0
"527 - * Employment and payroll of federal govt, military",0.0,0.0,0.0,0.0
431 - Owner-occupied housing,0.0,0.0,0.0,0.0
51 - Construction of other new nonresidential structures,0.0,0.0,0.0,0.0
"526 - * Employment and payroll of local govt, other services",0.0,0.0,0.0,0.0
46 - Construction of new manufacturing structures,0.0,0.0,0.0,0.0
517 - * Not an industry (Used and secondhand goods),0.0,0.0,0.0,0.0
"50 - Construction of new commercial structures, including farm structures",0.0,0.0,0.0,0.0
519 - * Not an industry (Rest of world adjustment),0.0,0.0,0.0,0.0
"528 - * Employment and payroll of federal govt, non-military",0.0,0.0,0.0,0.0
"523 - * Employment and payroll of state govt, other services",0.0,0.0,0.0,0.0
"522 - * Employment and payroll of state govt, hospitals and health services",0.0,0.0,0.0,0.0
52 - Construction of new single-family residential structures,0.0,0.0,0.0,0.0
49 - Construction of new highways and streets,0.0,0.0,0.0,0.0
518 - * Not an industry (Scrap),0.0,0.0,0.0,0.0
45 - Construction of new health care structures,0.0,0.0,0.0,0.0
"521 - * Employment and payroll of state govt, education",0.0,0.0,0.0,0.0
