Industry,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total
172 - Toilet preparation manufacturing,0.0,5.2,648.74,653.94
123 - Other leather and allied product manufacturing,0.0,5.16,121.71,126.87
92 - Roasted nuts and peanut butter manufacturing,0.0,4.88,256.05,260.93
370 - Musical instrument manufacturing,0.0,4.88,62.93,67.81
344 - Boat building,0.0,4.66,520.54,525.21
"78 - Dry, condensed, and evaporated dairy product manufacturing",0.0,4.57,244.36,248.93
"72 - Frozen fruits, juices and vegetables manufacturing",0.0,4.55,407.66,412.21
"366 - Doll, toy, and game manufacturing",0.0,4.42,169.65,174.07
82 - Frozen cakes and other pastries manufacturing,0.0,4.4,303.43,307.83
364 - Jewelry and silverware manufacturing,0.0,4.3,326.43,330.73
109 - Knit fabric mills,0.0,4.27,29.2,33.48
305 - Electricity and signal testing instruments manufacturing,0.0,4.22,5.05,9.27
107 - Narrow fabric mills and schiffli machine embroidery,0.0,4.19,28.01,32.2
85 - Meat processed from carcasses,0.0,4.05,1885.75,1889.8
"346 - Military armored vehicle, tank, and tank component manufacturing",0.0,4.03,10.41,14.44
164 - Pharmaceutical preparation manufacturing,0.0,4.03,2473.34,2477.36
113 - Curtain and linen mills,0.0,3.89,179.15,183.04
86 - Rendering and meat byproduct processing,0.0,3.79,88.7,92.49
"301 - Search, detection, and navigation instruments manufacturing",0.0,3.48,12.5,15.97
480 - Racing and Track Operation,0.0,3.44,823.29,826.73
282 - Packaging machinery manufacturing,0.0,3.4,21.74,25.14
5 - Tree nut farming,0.0,3.26,428.74,431.99
"504 - Grantmaking, giving, and social advocacy organizations",0.0,3.24,7757.2,7760.44
"278 - Overhead cranes, hoists, and monorail systems manufacturing",0.0,3.15,1.43,4.58
327 - Truck trailer manufacturing,0.0,3.14,1.02,4.16
89 - Cookie and cracker manufacturing,0.0,2.93,525.95,528.88
258 - Food product machinery manufacturing,0.0,2.92,6.31,9.23
257 - Semiconductor machinery manufacturing,0.0,2.88,4.59,7.46
112 - Carpet and rug mills,0.0,2.84,131.31,134.15
117 - Apparel knitting mills,0.0,2.79,118.74,121.54
121 - Leather and hide tanning and finishing,0.0,2.78,29.53,32.31
312 - Small electrical appliance manufacturing,0.0,2.75,93.91,96.66
71 - Confectionery manufacturing from purchased chocolate,0.0,2.68,438.09,440.77
69 - Nonchocolate confectionery manufacturing,0.0,2.66,378.15,380.81
354 - Custom architectural woodwork and millwork,0.0,2.54,5.25,7.8
275 - Air and gas compressor manufacturing,0.0,2.28,2.02,4.3
76 - Dehydrated food products manufacturing,0.0,2.25,157.96,160.21
75 - Canned specialties,0.0,2.25,149.94,152.19
60 - Flour milling,0.0,2.05,206.94,208.99
350 - Nonupholstered wood household furniture manufacturing,0.0,2.04,309.14,311.19
"259 - Sawmill, woodworking, and paper machinery",0.0,2.03,3.25,5.27
276 - Elevator and moving stairway manufacturing,0.0,1.98,1.32,3.3
91 - Tortilla manufacturing,0.0,1.83,289.22,291.05
"314 - Power, distribution, and specialty transformer manufacturing",0.0,1.79,3.66,5.45
293 - Audio and video equipment manufacturing,0.0,1.75,105.45,107.21
365 - Sporting and athletic goods manufacturing,0.0,1.68,390.57,392.25
"371 - Fasteners, buttons, needles, and pins manufacturing",0.0,1.65,41.21,42.86
9 - Sugarcane and sugar beet farming,0.0,1.64,145.36,147.0
352 - Institutional furniture manufacturing,0.0,1.62,4.38,6.01
325 - Heavy duty truck manufacturing,0.0,1.6,1.83,3.43
341 - Propulsion units and parts for space vehicles and guided missiles manufacturing,0.0,1.59,1.1,2.7
"90 - Dry pasta, mixes, and dough manufacturing",0.0,1.39,292.0,293.38
362 - Ophthalmic goods manufacturing,0.0,1.14,292.63,293.77
133 - Manufactured home (mobile home) manufacturing,0.0,1.14,1.33,2.47
122 - Footwear manufacturing,0.0,1.08,181.24,182.32
67 - Beet sugar manufacturing,0.0,1.03,97.23,98.26
100 - Manufactured ice,0.0,0.97,107.14,108.11
68 - Sugar cane mills and refining,0.0,0.97,91.59,92.56
80 - Creamery butter manufacturing,0.0,0.88,46.44,47.32
357 - Mattress manufacturing,0.0,0.88,243.79,244.67
70 - Chocolate and confectionery manufacturing from cacao beans,0.0,0.87,137.24,138.11
349 - Upholstered household furniture manufacturing,0.0,0.71,561.34,562.05
288 - Computer storage device manufacturing,0.0,0.68,21.85,22.53
30 - Drilling oil and gas wells,0.0,0.64,0.14,0.78
358 - Blind and shade manufacturing,0.0,0.58,75.7,76.28
"355 - Office furniture, except wood, manufacturing",0.0,0.57,1.85,2.42
469 - Medical and diagnostic laboratories,0.0,0.56,6179.81,6180.36
61 - Rice milling,0.0,0.43,56.3,56.74
166 - Biological product (except diagnostic) manufacturing,0.0,0.4,54.12,54.51
351 - Other household nonupholstered furniture manufacturing,0.0,0.29,97.3,97.59
353 - Wood office furniture manufacturing,0.0,0.27,1.13,1.4
62 - Malt manufacturing,0.0,0.27,15.81,16.08
33 - Other nonmetallic minerals services,0.0,0.26,0.19,0.45
165 - In-vitro diagnostic substance manufacturing,0.0,0.25,159.3,159.55
361 - Dental equipment and supplies manufacturing,0.0,0.23,25.89,26.12
18 - Commercial hunting and trapping,0.0,0.22,188.02,188.24
340 - Guided missile and space vehicle manufacturing,0.0,0.21,0.51,0.73
409 - Greeting card publishing,0.0,0.21,37.43,37.65
66 - Breakfast cereal manufacturing,0.0,0.2,186.25,186.45
"483 - Museums, historical sites, zoos, and parks",0.0,0.18,2687.77,2687.95
328 - Motor home manufacturing,0.0,0.17,211.25,211.42
300 - Electromedical and electrotherapeutic apparatus manufacturing,0.0,0.14,60.43,60.57
58 - Dog and cat food manufacturing,0.0,0.14,577.45,577.59
506 - Labor and civic organizations,0.0,0.14,9164.56,9164.7
488 - Bowling centers,0.0,0.14,1119.41,1119.55
434 - Video tape and disc rental,0.0,0.09,76.46,76.56
7 - Tobacco farming,0.0,0.04,9.0,9.04
307 - Irradiation apparatus manufacturing,0.0,0.01,1.83,1.84
104 - Tobacco manufacturing,0.0,0.01,131.81,131.82
466 - Offices of dentists,0.0,0.0,18694.73,18694.74
373 - Burial casket manufacturing,0.0,0.0,29.01,29.01
363 - Dental laboratories,0.0,0.0,588.44,588.44
472 - Hospitals,0.0,0.0,86925.63,86925.63
465 - Offices of physicians,0.0,0.0,60925.78,60925.78
475 - Individual and family services,0.0,0.0,60323.15,60323.15
503 - Religious organizations,0.0,0.0,46193.05,46193.05
499 - Personal care services,0.0,0.0,32884.22,32884.22
473 - Nursing and community care facilities,0.0,0.0,31838.39,31838.39
470 - Home health care services,0.0,0.0,30322.78,30322.78
468 - Outpatient care centers,0.0,0.0,21247.55,21247.55
430 - Tenant-occupied housing,0.0,0.0,21247.05,21247.05
467 - Offices of other health practitioners,0.0,0.0,20685.03,20685.03
476 - Child day care services,0.0,0.0,20056.07,20056.07
462 - Elementary and secondary schools,0.0,0.0,19316.44,19316.44
"474 - Residential mental health, substance abuse, and other residential care facilities",0.0,0.0,12234.49,12234.49
"477 - Community food, housing, and other relief services, including rehabilitation services",0.0,0.0,11858.81,11858.81
507 - Private households,0.0,0.0,10200.08,10200.08
500 - Death care services,0.0,0.0,5654.79,5654.79
"524 - * Employment and payroll of local govt, education",0.0,0.0,0.0,0.0
"525 - * Employment and payroll of local govt, hospitals and health services",0.0,0.0,0.0,0.0
520 - * Not an industry (Noncomparable foreign imports),0.0,0.0,0.0,0.0
54 - Construction of other new residential structures,0.0,0.0,0.0,0.0
47 - Construction of new power and communication structures,0.0,0.0,0.0,0.0
53 - Construction of new multifamily residential structures,0.0,0.0,0.0,0.0
48 - Construction of new educational and vocational structures,0.0,0.0,0.0,0.0
"527 - * Employment and payroll of federal govt, military",0.0,0.0,0.0,0.0
"528 - * Employment and payroll of federal govt, non-military",0.0,0.0,0.0,0.0
51 - Construction of other new nonresidential structures,0.0,0.0,0.0,0.0
"526 - * Employment and payroll of local govt, other services",0.0,0.0,0.0,0.0
46 - Construction of new manufacturing structures,0.0,0.0,0.0,0.0
517 - * Not an industry (Used and secondhand goods),0.0,0.0,0.0,0.0
"522 - * Employment and payroll of state govt, hospitals and health services",0.0,0.0,0.0,0.0
519 - * Not an industry (Rest of world adjustment),0.0,0.0,0.0,0.0
431 - Owner-occupied housing,0.0,0.0,0.0,0.0
"523 - * Employment and payroll of state govt, other services",0.0,0.0,0.0,0.0
"50 - Construction of new commercial structures, including farm structures",0.0,0.0,0.0,0.0
52 - Construction of new single-family residential structures,0.0,0.0,0.0,0.0
49 - Construction of new highways and streets,0.0,0.0,0.0,0.0
518 - * Not an industry (Scrap),0.0,0.0,0.0,0.0
45 - Construction of new health care structures,0.0,0.0,0.0,0.0
"521 - * Employment and payroll of state govt, education",0.0,0.0,0.0,0.0
