Industry,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total
515 - Local government electric utilities,0.0,1042.29,893.55,1935.84
35 - Electric power generation - Fossil fuel,0.0,1034.34,887.81,1922.15
139 - Paperboard container manufacturing,0.0,933.0,1281.64,2214.64
411 - Motion picture and video industries,0.0,858.58,4425.01,5283.58
220 - Nonferrous metal foundries,0.0,806.4,166.45,972.84
273 - Other engine equipment manufacturing,0.0,786.39,105.96,892.35
"417 - Satellite, telecommunications resellers, and all other telecommunications",0.0,786.1,1244.87,2030.98
"240 - Turned product and screw, nut, and bolt manufacturing",0.0,764.18,240.08,1004.26
56 - Maintenance and repair construction of residential structures,0.0,747.5,9211.56,9959.06
332 - Motor vehicle transmission and power train parts manufacturing,0.0,687.74,312.0,999.74
10 - All other crop farming,0.0,686.74,3577.9,4264.64
395 - Retail - Miscellaneous store retailers,0.0,662.42,28882.79,29545.22
"244 - Valve and fittings, other than plumbing, manufacturing",0.0,656.88,155.73,812.61
186 - Tire manufacturing,0.0,643.68,430.57,1074.25
510 - Other federal government enterprises,0.0,618.51,534.9,1153.41
436 - Lessors of nonfinancial intangible assets,0.0,599.99,313.73,913.72
502 - Other personal services,0.0,594.88,20971.79,21566.67
219 - Ferrous metal foundries,0.0,588.6,149.59,738.19
124 - Sawmills,0.0,585.48,313.21,898.68
229 - Plate work manufacturing,0.0,578.17,244.36,822.54
514 - Local government passenger transit,0.0,574.02,2877.56,3451.59
228 - Fabricated structural metal manufacturing,0.0,571.85,274.27,846.13
241 - Metal heat treating,0.0,561.26,103.05,664.31
296 - Semiconductor and related device manufacturing,0.0,559.27,992.95,1552.22
331 - Motor vehicle electrical and electronic equipment manufacturing,0.0,553.76,299.89,853.64
478 - Performing arts companies,0.0,539.23,5727.89,6267.12
381 - Wholesale - Grocery and related product wholesalers,0.0,526.82,11568.63,12095.45
416 - Wireless telecommunications carriers (except satellite),0.0,526.17,1113.07,1639.24
36 - Electric power generation - Nuclear,0.0,525.29,450.87,976.16
16 - Commercial logging,0.0,521.08,348.98,870.07
19 - Support activities for agriculture and forestry,0.0,488.59,5959.37,6447.97
380 - Wholesale - Drugs and druggistsâ€™ sundries,0.0,473.78,3315.57,3789.36
155 - Other basic organic chemical manufacturing,0.0,444.58,329.21,773.79
151 - Petrochemical manufacturing,0.0,437.9,155.02,592.92
"428 - Funds, trusts, and other financial vehicles",0.0,421.44,16950.41,17371.85
207 - Iron and steel mills and ferroalloy manufacturing,0.0,410.78,236.0,646.78
414 - Cable and other subscription programming,0.0,398.62,745.75,1144.37
464 - Other educational services,0.0,385.6,18933.52,19319.12
178 - Plastics packaging materials and unlaminated film and sheet manufacturing,0.0,379.06,604.52,983.58
21 - Coal mining,0.0,354.86,314.36,669.22
"393 - Retail - Sporting goods, hobby, musical instrument and book stores",0.0,354.08,13103.19,13457.27
231 - Sheet metal work manufacturing,0.0,345.7,256.9,602.61
238 - Spring and wire product manufacturing,0.0,338.42,172.02,510.44
339 - Other aircraft parts and auxiliary equipment manufacturing,0.0,334.73,18.11,352.85
486 - Other amusement and recreation industries,0.0,331.67,12752.28,13083.94
406 - Periodical publishers,0.0,322.29,796.15,1118.44
405 - Newspaper publishers,0.0,322.03,1073.56,1395.59
495 - Car washes,0.0,317.2,4707.5,5024.7
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,314.62,18.82,333.43
129 - Wood windows and door manufacturing,0.0,307.27,275.4,582.67
"463 - Junior colleges, colleges, universities, and professional schools",0.0,287.23,22522.54,22809.77
156 - Plastics material and resin manufacturing,0.0,280.54,315.2,595.75
251 - Other fabricated metal manufacturing,0.0,270.5,373.9,644.4
196 - Ready-mix concrete manufacturing,0.0,262.11,223.29,485.4
"44 - Water, sewage and other systems",0.0,259.95,677.12,937.07
"6 - Greenhouse, nursery, and floriculture production",0.0,256.83,2588.74,2845.57
37 - Electric power generation - Solar,0.0,229.55,197.03,426.58
167 - Paint and coating manufacturing,0.0,228.36,197.6,425.95
386 - Retail - Furniture and home furnishings stores,0.0,227.93,8888.52,9116.46
138 - Paperboard mills,0.0,224.55,225.82,450.37
116 - Other textile product mills,0.0,219.46,252.5,471.96
175 - Custom compounding of purchased resins,0.0,219.45,98.91,318.36
348 - Wood kitchen cabinet and countertop manufacturing,0.0,217.67,705.72,923.39
140 - Paper bag and coated and treated paper manufacturing,0.0,213.57,444.92,658.5
177 - Other miscellaneous chemical product manufacturing,0.0,211.82,185.22,397.03
2 - Grain farming,0.0,209.44,2000.0,2209.44
487 - Fitness and recreational sports centers,0.0,206.26,10277.56,10483.82
188 - Other rubber product manufacturing,0.0,200.79,187.88,388.67
