Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total
457 - Investigation and security services,0.0,1813890591.41,805241421.47,2619132012.87
43 - Natural gas distribution,0.0,1325534429.32,1234237137.33,2559771566.65
441 - Custom computer programming services,0.0,1651324107.76,862174276.69,2513498384.45
335 - Other motor vehicle parts manufacturing,0.0,2086375353.75,402658425.37,2489033779.11
459 - Landscape and horticultural services,0.0,1015049445.74,1412709205.1,2427758650.83
442 - Computer systems design services,0.0,1295144644.15,1130149811.9,2425294456.04
464 - Other educational services,0.0,46161012.92,2338321297.81,2384482310.72
400 - Transit and ground passenger transportation,0.0,372878167.57,1985398679.1,2358276846.67
497 - Commercial and industrial machinery and equipment repair and maintenance,0.0,1598516555.95,729845957.8,2328362513.75
388 - Retail - Building material and garden equipment and supplies stores,0.0,412380489.65,1905713208.75,2318093698.4
470 - Home health care services,0.0,0.0,2311229435.01,2311229435.01
330 - Motor vehicle gasoline engine and engine parts manufacturing,0.0,2012407134.51,212184926.62,2224592061.13
"439 - Architectural, engineering, and related services",0.0,1156471818.55,1054800863.18,2211272681.73
413 - Radio and television broadcasting,0.0,786002813.66,1278526617.62,2064529431.28
395 - Retail - Miscellaneous store retailers,0.0,43417043.94,1953919201.26,1997336245.19
502 - Other personal services,0.0,53114728.94,1932507196.83,1985621925.77
414 - Cable and other subscription programming,0.0,671936546.03,1297428618.47,1969365164.5
411 - Motion picture and video industries,0.0,311124191.43,1654922369.63,1966046561.06
185 - Other plastics product manufacturing,0.0,1071064550.39,883182489.32,1954247039.71
425 - Direct life insurance carriers,0.0,21243437.72,1929918971.58,1951162409.3
296 - Semiconductor and related device manufacturing,0.0,668105033.22,1224348815.15,1892453848.37
"504 - Grantmaking, giving, and social advocacy organizations",0.0,752074.35,1857919699.95,1858671774.3
455 - Business support services,0.0,959773635.69,871035417.02,1830809052.71
482 - Promoters of performing arts and sports and agents for public figures,0.0,271390597.03,1485747424.68,1757138021.71
155 - Other basic organic chemical manufacturing,0.0,988838746.28,755778785.8,1744617532.09
496 - Electronic and precision equipment repair and maintenance,0.0,1057237891.74,647536353.23,1704774244.97
144 - Printing,0.0,770278187.0,894883847.78,1665162034.78
460 - Other support services,0.0,861707182.58,793052634.34,1654759816.91
456 - Travel arrangement and reservation services,0.0,449022839.56,1160014322.32,1609037161.88
56 - Maintenance and repair construction of residential structures,0.0,117228452.47,1490770678.06,1607999130.52
499 - Personal care services,0.0,0.0,1556061009.73,1556061009.73
485 - Gambling industries (except casino hotels),0.0,1690587.45,1514334124.92,1516024712.37
515 - Local government electric utilities,0.0,782357896.32,692338518.07,1474696414.39
386 - Retail - Furniture and home furnishings stores,0.0,34953774.5,1406881890.65,1441835665.15
139 - Paperboard container manufacturing,0.0,595867404.9,844877541.93,1440744946.82
476 - Child day care services,0.0,0.0,1434156718.13,1434156718.13
"84 - Animal, except poultry, slaughtering",0.0,23885522.28,1376305919.25,1400191441.53
445 - Environmental and other technical consulting services,0.0,621155387.24,777094583.75,1398249970.99
83 - Poultry processing,0.0,22498866.41,1360424202.76,1382923069.17
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,19678665.48,1360626111.4,1380304776.88
505 - Business and professional associations,0.0,362864267.3,1008532958.32,1371397225.62
384 - Wholesale - Wholesale electronic markets and agents and brokers,0.0,928723490.88,431077283.43,1359800774.31
239 - Machine shops,0.0,1022696528.68,268485050.42,1291181579.1
"481 - Independent artists, writers, and performers",0.0,433205847.01,841828838.89,1275034685.9
324 - Automobile and light duty motor vehicle manufacturing,0.0,111168043.81,1138149953.55,1249317997.36
506 - Labor and civic organizations,0.0,18431.81,1246924702.0,1246943133.81
"477 - Community food, housing, and other relief services, including rehabilitation services",0.0,0.0,1227655378.59,1227655378.59
"474 - Residential mental health, substance abuse, and other residential care facilities",0.0,0.0,1225638724.08,1225638724.08
462 - Elementary and secondary schools,0.0,0.0,1214649745.1,1214649745.1
469 - Medical and diagnostic laboratories,0.0,104931.54,1201477327.32,1201582258.85
486 - Other amusement and recreation industries,0.0,29396304.14,1165982411.56,1195378715.71
99 - Bottled and canned soft drinks and water,0.0,10816954.73,1130728560.52,1141545515.26
36 - Electric power generation - Nuclear,0.0,600493896.16,532037570.0,1132531466.17
85 - Meat processed from carcasses,0.0,2339337.93,1124950187.03,1127289524.96
"336 - Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",0.0,988279077.73,131601407.61,1119880485.34
207 - Iron and steel mills and ferroalloy manufacturing,0.0,689625344.31,408896980.26,1098522324.57
