ImpactLabel,Pre_Employment,Pre_LaborIncome,Pre_ValueAdded,Pre_Output,Post_Employment,Post_LaborIncome,Post_ValueAdded,Post_Output,Change_Employment,PctChange_Employment,Change_LaborIncome,PctChange_LaborIncome,Change_ValueAdded,PctChange_ValueAdded,Change_Output,PctChange_Output
1 - Direct,2429610,183000000000,256000000000,517000000000,2360526,176000000000,250000000000,517000000000,-69084,-2.8434,-7000000000,-3.8251,-6000000000,-2.3438,0,0.0
2 - Indirect,2056333,143000000000,229000000000,395000000000,2097555,146000000000,234000000000,403000000000,41222,2.0046,3000000000,2.0979,5000000000,2.1834,8000000000,2.0253
3 - Induced,2100059,144000000000,269000000000,456000000000,2075691,142000000000,266000000000,451000000000,-24368,-1.1603,-2000000000,-1.3889,-3000000000,-1.1152,-5000000000,-1.0965
Total,6586002,469000000000,754000000000,1370000000000,6533771,464000000000,750000000000,1370000000000,-52231,-0.7931,-5000000000,-1.0661,-4000000000,-0.5305,0,0.0
