Industry,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total
67 - Beet sugar manufacturing,0.0,697622.64,65843834.8,66541457.44
160 - Phosphatic fertilizer manufacturing,0.0,18712457.36,47403805.17,66116262.53
"225 - Cutlery, utensil, pot, and pan manufacturing",0.0,18546960.24,46664307.17,65211267.41
368 - Sign manufacturing,0.0,29361311.44,35698131.88,65059443.32
"105 - Fiber, yarn, and thread mills",0.0,15801226.33,46446664.28,62247890.61
"130 - Cut stock, resawing lumber, and planing",0.0,36872609.65,22900899.1,59773508.75
"236 - Metal barrels, drums and pails manufacturing",0.0,16120962.78,43067383.11,59188345.88
187 - Rubber and plastics hoses and belting manufacturing,0.0,32224311.29,26929190.42,59153501.7
245 - Plumbing fixture fitting and trim manufacturing,0.0,27154055.52,31611556.49,58765612.0
"345 - Motorcycle, bicycle, and parts manufacturing",0.0,5723957.15,52612843.12,58336800.28
295 - Bare printed circuit board manufacturing,0.0,24906479.85,33344765.11,58251244.96
173 - Printing ink manufacturing,0.0,25410809.69,32126274.72,57537084.42
157 - Synthetic rubber manufacturing,0.0,25281723.42,31937045.15,57218768.57
246 - Ball and roller bearing manufacturing,0.0,37558994.04,19606088.39,57165082.43
17 - Commercial fishing,0.0,2790410.04,54252331.14,57042741.18
31 - Support activities for oil and gas operations,0.0,47083351.95,9660151.92,56743503.88
106 - Broadwoven fabric mills,0.0,7509833.69,48895027.87,56404861.56
289 - Computer terminals and other computer peripheral equipment manufacturing,0.0,23708596.7,32192258.78,55900855.48
"369 - Gasket, packing, and sealing device manufacturing",0.0,22479549.56,32900022.29,55379571.86
322 - Carbon and graphite product manufacturing,0.0,30710558.12,24611906.55,55322464.67
176 - Photographic film and chemical manufacturing,0.0,27845781.62,27200698.86,55046480.48
319 - Fiber optic cable manufacturing,0.0,26705811.84,27462611.4,54168423.25
112 - Carpet and rug mills,0.0,1138935.73,52614580.26,53753515.99
110 - Textile and fabric finishing mills,0.0,9719157.25,43462547.57,53181704.82
367 - Office supplies (except paper) manufacturing,0.0,13200308.62,39635593.38,52835902.01
"308 - Watch, clock, and other measuring and controlling device manufacturing",0.0,4210659.45,47350357.3,51561016.75
27 - Sand and gravel mining,0.0,26597597.83,24370148.38,50967746.22
512 - State government electric utilities,0.0,26976916.93,23131249.3,50108166.22
285 - Fluid power pump and motor manufacturing,0.0,36442409.08,13281713.72,49724122.8
25 - Other metal ore mining,0.0,26433241.91,23079632.51,49512874.42
61 - Rice milling,0.0,377878.86,48922467.16,49300346.02
211 - Alumina refining and primary aluminum production,0.0,22281320.62,26941332.08,49222652.7
317 - Relay and industrial control manufacturing,0.0,25908947.14,21046093.07,46955040.21
224 - Nonferrous forging,0.0,33772119.84,12923451.91,46695571.75
338 - Aircraft engine and engine parts manufacturing,0.0,40155188.29,6186530.42,46341718.7
145 - Support activities for printing,0.0,19887359.48,25635226.54,45522586.01
161 - Fertilizer mixing,0.0,12674605.61,32571059.3,45245664.92
205 - Mineral wool manufacturing,0.0,29295331.93,15748912.97,45044244.9
337 - Aircraft manufacturing,0.0,33837483.48,9114209.86,42951693.34
"217 - Nonferrous metal, except copper and aluminum, shaping",0.0,25975323.38,16843510.49,42818833.86
303 - Industrial process variable instruments manufacturing,0.0,28627454.38,14016215.0,42643669.38
"271 - Speed changer, industrial high-speed drive, and gear manufacturing",0.0,30024657.32,12456227.35,42480884.68
166 - Biological product (except diagnostic) manufacturing,0.0,308400.06,42019843.31,42328243.37
197 - Concrete block and brick manufacturing,0.0,20152509.8,22139736.75,42292246.54
192 - Other pressed and blown glass and glassware manufacturing,0.0,10224597.69,30249910.37,40474508.05
480 - Racing and Track Operation,0.0,168268.25,40298496.45,40466764.7
122 - Footwear manufacturing,0.0,237671.49,40039174.37,40276845.86
204 - Ground or treated mineral and earth manufacturing,0.0,20603824.63,18565635.02,39169459.65
"279 - Industrial truck, trailer, and stacker manufacturing",0.0,31626419.01,7523615.48,39150034.5
250 - Fabricated pipe and pipe fitting manufacturing,0.0,25758873.76,12886493.03,38645366.79
203 - Cut stone and stone product manufacturing,0.0,2291077.55,36304876.95,38595954.5
113 - Curtain and linen mills,0.0,804799.34,37016669.45,37821468.79
200 - Lime manufacturing,0.0,19252199.95,18270686.12,37522886.07
118 - Cut and sew apparel contractors,0.0,1135956.55,35820450.84,36956407.39
221 - Custom roll forming,0.0,25514080.0,11398305.09,36912385.09
263 - Heating equipment (except warm air furnaces) manufacturing,0.0,7213207.17,29273202.15,36486409.32
272 - Mechanical power transmission equipment manufacturing,0.0,25832081.76,10117850.1,35949931.86
218 - Secondary processing of other nonferrous metals,0.0,18458547.39,16788307.53,35246854.92
120 - Apparel accessories and other apparel manufacturing,0.0,969605.06,32587427.85,33557032.92
351 - Other household nonupholstered furniture manufacturing,0.0,100808.91,33406324.21,33507133.12
"115 - Rope, cordage, twine, tire cord and tire fabric mills",0.0,16625472.24,16803886.91,33429359.16
227 - Prefabricated metal buildings and components manufacturing,0.0,14157815.23,18869377.01,33027192.24
29 - Other nonmetallic mineral mining and quarrying,0.0,14173677.66,18331593.28,32505270.94
134 - Prefabricated wood building manufacturing,0.0,15849022.59,16338720.27,32187742.85
291 - Broadcast and wireless communications equipment manufacturing,0.0,12047910.58,20025819.58,32073730.16
300 - Electromedical and electrotherapeutic apparatus manufacturing,0.0,73417.08,30969700.02,31043117.11
343 - Ship building and repairing,0.0,7427456.77,22847506.77,30274963.54
198 - Concrete pipe manufacturing,0.0,16439611.74,13720340.03,30159951.77
215 - Nonferrous metal (exc aluminum) smelting and refining,0.0,14496797.61,15377541.61,29874339.22
"190 - Brick, tile, and other structural clay product manufacturing",0.0,13664003.38,15837456.62,29501460.0
"356 - Showcase, partition, shelving, and locker manufacturing",0.0,8059171.23,20548169.03,28607340.26
326 - Motor vehicle body manufacturing,0.0,17476076.2,11105882.49,28581958.69
284 - Fluid power cylinder and actuator manufacturing,0.0,18909285.43,9361673.61,28270959.03
"57 - Maintenance and repair construction of highways, streets, bridges, and tunnels",0.0,13523171.56,14121320.99,27644492.55
23 - Iron ore mining,0.0,17142977.28,10425873.51,27568850.79
434 - Video tape and disc rental,0.0,34085.56,27472701.52,27506787.08
202 - Abrasive product manufacturing,0.0,16750752.35,9662581.21,26413333.56
256 - Oil and gas field machinery and equipment manufacturing,0.0,20492617.24,5659679.6,26152296.84
191 - Flat glass manufacturing,0.0,9128599.5,16513180.95,25641780.45
39 - Electric power generation - Geothermal,0.0,13727866.58,11783036.35,25510902.94
316 - Switchgear and switchboard apparatus manufacturing,0.0,15424155.66,9855745.52,25279901.18
"297 - Capacitor, resistor, coil, transformer, and other inductor manufacturing",0.0,9396569.81,15879346.74,25275916.56
"372 - Broom, brush, and mop manufacturing",0.0,3682116.22,20749861.34,24431977.56
123 - Other leather and allied product manufacturing,0.0,989634.58,23338316.66,24327951.24
111 - Fabric coating mills,0.0,5987279.76,17189321.73,23176601.5
290 - Telephone apparatus manufacturing,0.0,9562049.5,12683915.92,22245965.42
511 - State government passenger transit,0.0,3650633.4,18300494.72,21951128.13
267 - Cutting tool and machine tool accessory manufacturing,0.0,15935175.31,5672380.47,21607555.78
310 - Electric lamp bulb and part manufacturing,0.0,4845009.75,16288857.9,21133867.65
62 - Malt manufacturing,0.0,350704.85,20416949.86,20767654.71
"189 - Pottery, ceramics, and plumbing fixture manufacturing",0.0,2713075.54,17968933.94,20682009.48
100 - Manufactured ice,0.0,185905.1,20494335.74,20680240.84
304 - Totalizing fluid meter and counting device manufacturing,0.0,10595744.32,8514203.78,19109948.1
"266 - Special tool, die, jig, and fixture manufacturing",0.0,14169068.8,4736775.49,18905844.29
288 - Computer storage device manufacturing,0.0,567173.87,18242742.88,18809916.76
18 - Commercial hunting and trapping,0.0,21415.83,18666167.01,18687582.83
358 - Blind and shade manufacturing,0.0,141636.52,18471645.84,18613282.37
252 - Farm machinery and equipment manufacturing,0.0,7522964.11,10757528.65,18280492.76
8 - Cotton farming,0.0,3001286.22,14573955.02,17575241.24
302 - Automatic environmental control manufacturing,0.0,9054721.58,8423747.59,17478469.17
136 - Pulp mills,0.0,6012883.08,11308620.57,17321503.64
262 - Industrial and commercial fan and blower and air purification equipment manufacturing,0.0,9862690.31,6716079.82,16578770.13
174 - Explosives manufacturing,0.0,8082652.22,8182799.04,16265451.26
280 - Power-driven handtool manufacturing,0.0,6352441.23,9824633.73,16177074.96
"15 - Forestry, forest products, and timber tract production",0.0,6124123.11,9119937.04,15244060.15
342 - Railroad rolling stock manufacturing,0.0,13774796.12,1357635.72,15132431.84
117 - Apparel knitting mills,0.0,341919.77,14528274.32,14870194.09
41 - Electric power generation - All other,0.0,7544568.48,6475727.61,14020296.09
32 - Metal mining services,0.0,11151285.72,2830605.09,13981890.81
260 - All other industrial machinery manufacturing,0.0,7531532.05,6372504.45,13904036.51
323 - All other miscellaneous electrical equipment and component manufacturing,0.0,8314344.05,5530517.73,13844861.77
253 - Lawn and garden equipment manufacturing,0.0,7209232.69,6628350.11,13837582.8
234 - Metal tank (heavy gauge) manufacturing,0.0,7888148.64,5433059.27,13321207.91
370 - Musical instrument manufacturing,0.0,950036.33,12249313.01,13199349.34
270 - Turbine and turbine generator set units manufacturing,0.0,9780640.86,2597440.35,12378081.21
254 - Construction machinery manufacturing,0.0,7932856.65,4375087.78,12307944.44
269 - Rolling mill and other metalworking machinery manufacturing,0.0,2622791.71,9372266.85,11995058.57
"28 - Other clay, ceramic, refractory minerals mining",0.0,5566429.07,6038998.7,11605427.77
121 - Leather and hide tanning and finishing,0.0,943145.99,10032242.29,10975388.29
306 - Analytical laboratory instrument manufacturing,0.0,3235274.75,7704272.25,10939547.0
"371 - Fasteners, buttons, needles, and pins manufacturing",0.0,418178.57,10473280.67,10891459.24
"346 - Military armored vehicle, tank, and tank component manufacturing",0.0,3017249.08,7799273.57,10816522.65
"286 - Scales, balances, and miscellaneous general purpose machinery manufacturing",0.0,7650803.06,3011986.49,10662789.54
281 - Welding and soldering equipment manufacturing,0.0,6941736.73,3471952.82,10413689.55
282 - Packaging machinery manufacturing,0.0,1398080.59,8936705.47,10334786.06
265 - Industrial mold manufacturing,0.0,7354702.64,2664442.08,10019144.72
"301 - Search, detection, and navigation instruments manufacturing",0.0,1972875.55,7088465.02,9061340.57
109 - Knit fabric mills,0.0,1151201.06,7870177.6,9021378.66
361 - Dental equipment and supplies manufacturing,0.0,78610.71,8880312.23,8958922.94
277 - Conveyor and conveying equipment manufacturing,0.0,5825472.58,2795904.31,8621376.88
409 - Greeting card publishing,0.0,48009.78,8409313.22,8457323.01
268 - Machine tool manufacturing,0.0,4949741.12,3391896.35,8341637.48
"248 - Ammunition, except for small arms, manufacturing",0.0,1529810.8,6149419.14,7679229.93
233 - Power boiler and heat exchanger manufacturing,0.0,3754089.59,3484265.85,7238355.43
107 - Narrow fabric mills and schiffli machine embroidery,0.0,936317.82,6261387.47,7197705.29
373 - Burial casket manufacturing,0.0,388.0,7158421.92,7158809.92
257 - Semiconductor machinery manufacturing,0.0,1975584.67,3152519.92,5128104.58
305 - Electricity and signal testing instruments manufacturing,0.0,2310341.45,2763805.47,5074146.92
255 - Mining machinery and equipment manufacturing,0.0,3225756.59,918955.52,4144712.11
258 - Food product machinery manufacturing,0.0,1152773.11,2492526.55,3645299.66
325 - Heavy duty truck manufacturing,0.0,1684334.38,1922051.6,3606385.98
283 - Industrial process furnace and oven manufacturing,0.0,2533996.94,629553.55,3163550.48
"278 - Overhead cranes, hoists, and monorail systems manufacturing",0.0,1845076.95,837868.77,2682945.72
7 - Tobacco farming,0.0,10549.19,2392320.27,2402869.46
275 - Air and gas compressor manufacturing,0.0,1267964.2,1121504.33,2389468.54
"314 - Power, distribution, and specialty transformer manufacturing",0.0,760984.56,1559809.18,2320793.75
327 - Truck trailer manufacturing,0.0,1446695.89,469255.44,1915951.34
"259 - Sawmill, woodworking, and paper machinery",0.0,702814.21,1127784.41,1830598.62
276 - Elevator and moving stairway manufacturing,0.0,1067398.68,712632.24,1780030.92
354 - Custom architectural woodwork and millwork,0.0,565545.09,1169304.98,1734850.07
307 - Irradiation apparatus manufacturing,0.0,8274.84,1564631.09,1572905.93
352 - Institutional furniture manufacturing,0.0,418161.52,1131634.76,1549796.28
341 - Propulsion units and parts for space vehicles and guided missiles manufacturing,0.0,766282.06,529737.68,1296019.74
"355 - Office furniture, except wood, manufacturing",0.0,250420.33,808104.05,1058524.38
133 - Manufactured home (mobile home) manufacturing,0.0,404675.64,473538.83,878214.46
340 - Guided missile and space vehicle manufacturing,0.0,152878.69,365848.3,518726.99
353 - Wood office furniture manufacturing,0.0,78840.2,325230.28,404070.49
30 - Drilling oil and gas wells,0.0,142434.19,30051.46,172485.64
33 - Other nonmetallic minerals services,0.0,81148.21,58196.99,139345.2
45 - Construction of new health care structures,0.0,0.0,0.0,0.0
46 - Construction of new manufacturing structures,0.0,0.0,0.0,0.0
47 - Construction of new power and communication structures,0.0,0.0,0.0,0.0
48 - Construction of new educational and vocational structures,0.0,0.0,0.0,0.0
49 - Construction of new highways and streets,0.0,0.0,0.0,0.0
"50 - Construction of new commercial structures, including farm structures",0.0,0.0,0.0,0.0
51 - Construction of other new nonresidential structures,0.0,0.0,0.0,0.0
52 - Construction of new single-family residential structures,0.0,0.0,0.0,0.0
53 - Construction of new multifamily residential structures,0.0,0.0,0.0,0.0
54 - Construction of other new residential structures,0.0,0.0,0.0,0.0
517 - * Not an industry (Used and secondhand goods),0.0,0.0,0.0,0.0
518 - * Not an industry (Scrap),0.0,0.0,0.0,0.0
519 - * Not an industry (Rest of world adjustment),0.0,0.0,0.0,0.0
520 - * Not an industry (Noncomparable foreign imports),0.0,0.0,0.0,0.0
"521 - * Employment and payroll of state govt, education",0.0,0.0,0.0,0.0
"522 - * Employment and payroll of state govt, hospitals and health services",0.0,0.0,0.0,0.0
"523 - * Employment and payroll of state govt, other services",0.0,0.0,0.0,0.0
"524 - * Employment and payroll of local govt, education",0.0,0.0,0.0,0.0
"525 - * Employment and payroll of local govt, hospitals and health services",0.0,0.0,0.0,0.0
"526 - * Employment and payroll of local govt, other services",0.0,0.0,0.0,0.0
"527 - * Employment and payroll of federal govt, military",0.0,0.0,0.0,0.0
"528 - * Employment and payroll of federal govt, non-military",0.0,0.0,0.0,0.0
